,Unnamed: 0,product_uid,product_description
0,0,100001,"['angle', 'make', 'joint', 'stronger', 'also', 'provide', 'consistent', 'straight', 'corner', 'simpson', 'strongtie', 'offer', 'wide', 'variety', 'angle', 'various', 'size', 'thickness', 'handle', 'lightduty', 'job', 'project', 'structural', 'connection', 'needed', 'bent', 'skewed', 'match', 'project', 'outdoor', 'project', 'moisture', 'present', 'use', 'zmax', 'zinccoated', 'connector', 'provide', 'extra', 'resistance', 'corrosion', 'look', 'z', 'end', 'model', 'numberversatile', 'connector', 'various', 'connection', 'home', 'repair', 'projectsstronger', 'angled', 'nailing', 'screw', 'fastening', 'alonehelp', 'ensure', 'joint', 'consistently', 'straight', 'strongdimensions', 'inmade', '12gauge', 'steelgalvanized', 'extra', 'corrosion', 'resistanceinstall', '10d', 'common', 'nail', 'strongdrive', 'sd', 'screw']"
1,1,100002,"['behr', 'premium', 'textured', 'deckover', 'innovative', 'solid', 'color', 'coating', 'bring', 'old', 'weathered', 'wood', 'concrete', 'back', 'life', 'advanced', 'acrylic', 'resin', 'formula', 'creates', 'durable', 'coating', 'tired', 'worn', 'deck', 'rejuvenating', 'whole', 'new', 'look', 'best', 'result', 'sure', 'properly', 'prepare', 'surface', 'using', 'applicable', 'behr', 'product', 'displayed', 'abovecalifornia', 'resident', 'seenbspproposition', 'informationrevives', 'wood', 'composite', 'deck', 'railing', 'porch', 'boat', 'dock', 'also', 'great', 'concrete', 'pool', 'deck', 'patio', 'sidewalks100', 'acrylic', 'solid', 'color', 'coatingresists', 'cracking', 'peeling', 'conceals', 'splinter', 'crack', 'inprovides', 'durable', 'mildew', 'resistant', 'finishcovers', 'coat', 'per', 'galloncreates', 'textured', 'slipresistant', 'finishfor', 'best', 'result', 'prepare', 'appropriate', 'behr', 'product', 'wood', 'concrete', 'surfaceactual', 'paint', 'color', 'may', 'vary', 'onscreen', 'printer', 'representationscolors', 'available', 'tinted', 'storesonline', 'price', 'includes', 'paint', 'care', 'fee', 'following', 'state', 'ca', 'co', 'ct', 'mn', 'ri', 'vt']"
2,2,100003,"['classic', 'architecture', 'meet', 'contemporary', 'design', 'ensemble', 'curve', 'series', 'made', 'solid', 'vikrell', 'material', 'blending', 'sleek', 'clean', 'line', 'gentle', 'curve', 'corner', 'shelving', 'perfect', 'storing', 'bath', 'accessory', 'modular', 'design', 'allows', 'moved', 'around', 'corner', 'doorway', 'ease', 'curve', 'wall', 'smooth', 'contemporary', 'look', 'featuring', 'integrated', 'storage', 'shelvesslightly', 'narrower', 'tighter', 'spacesdesigned', 'aprondurable', 'highgloss', 'finish', 'provides', 'smooth', 'shiny', 'surface', 'easy', 'cleanconforms', 'ansi', 'z12412', 'csa', 'b451', 'national', 'consensus', 'standardscurve', 'wall', 'smooth', 'contemporary', 'look', 'featuring', 'integrated', 'storage', 'shelf']"
3,3,100004,"['grape', 'solar', '265watt', 'polycrystalline', 'pv', 'solar', 'panel', 'bonus', 'pack', 'bundle', 'grape', 'solar', '265watt', 'solar', 'panel', 'extra', 'saving', 'grape', 'solar', '265watt', 'polycrystalline', 'pv', 'solar', 'panel', 'us', 'high', 'efficiency', 'solar', 'cell', 'approximately', 'made', 'quality', 'silicon', 'material', 'high', 'module', 'conversion', 'efficiency', 'long', 'term', 'output', 'stability', 'reliability', 'virtually', 'maintenance', 'free', 'high', 'transmittance', 'low', 'iron', 'tempered', 'glass', 'durability', 'enhanced', 'impact', 'resistancepositive', 'power', 'tolerance', '5wattantireflective', 'antisoiling', 'surface', 'reduces', 'power', 'loss', 'dirt', 'dustoutstanding', 'performance', 'lowlight', 'irradiances', 'environmentscertified', 'withstand', 'high', 'wind', 'snow', 'loads100', 'electroluminescence', 'inspection', 'ensures', 'module', 'defect', 'freepositive', 'negative', 'lead', 'quipped', 'mc4', 'connector']"
4,4,100005,"['update', 'bathroom', 'delta', 'vero', 'singlehandle', 'shower', 'faucet', 'trim', 'kit', 'chrome', 'ha', 'sleek', 'modern', 'minimalistic', 'aesthetic', 'multichoice', 'universal', 'valve', 'keep', 'water', 'temperature', 'within', 'degree', 'fahrenheit', 'help', 'prevent', 'scaldingcalifornia', 'resident', 'seenbspproposition', 'informationincludes', 'trim', 'kit', 'roughin', 'kit', 'r10000unbx', 'sold', 'separatelyincludes', 'handlemaintains', 'balanced', 'pressure', 'hot', 'cold', 'water', 'even', 'valve', 'turned', 'elsewhere', 'systemdue', 'watersense', 'regulation', 'state', 'new', 'york', 'please', 'confirm', 'shipping', 'zip', 'code', 'restricted', 'use', 'item', 'meet', 'watersense', 'qualification']"
5,5,100006,"['achieving', 'delicious', 'result', 'almost', 'effortless', 'whirlpool', 'overtherange', 'microwave', 'hood', 'convection', 'cooking', 'capacity', 'youll', 'room', 'prepare', 'multiple', 'dish', 'wont', 'micromanage', 'cooking', 'process', 'thanks', 'sensor', 'cooking', 'option', 'sensor', 'cooking', 'track', 'cooking', 'progress', 'automatically', 'adjusts', 'cooking', 'time', 'convection', 'roasting', 'baking', 'allows', 'bake', 'cake', 'bread', 'cooky', 'roast', 'meat', 'ease', 'cleanup', 'simple', 'industry', 'leading', 'cleanrelease', 'nonstick', 'interior', 'surface', 'easily', 'release', 'cookedon', 'food', 'without', 'use', 'harsh', 'chemical', 'damp', 'cloth', 'sponge', 'needed', 'remove', 'cookedon', 'spill', 'splashescalifornia', 'resident', 'seenbspproposition', 'informationspacious', 'capacity', 'accommodates', 'dinner', 'plate', 'casserole', 'dish', 'ease1100', 'watt', 'cooking', 'power', 'cooking', 'level', 'make', 'cooking', 'reheating', 'snap400', 'cfm', 'venting', 'system', 'whisk', 'smoke', 'steam', 'odor', 'away', 'cooktop', 'keep', 'kitchen', 'air', 'clearsingle', 'piece', 'door', 'builtin', 'touchactivated', 'control', 'console', 'streamlines', 'exterior', 'sleek', 'modern', 'look', 'easy', 'cleanupcook', 'confidence', 'sensor', 'programmed', 'cooking', 'cycle', 'option', 'sensor', 'cycle', 'include', 'steamsimmer', 'accupop', 'potato', 'fast', 'prep', 'family', 'favoriteskids', 'menu', 'simple', 'fast', 'kids', 'menu', 'preset', 'cooking', 'time', 'power', 'level', 'variety', 'favorite', 'like', 'pizza', 'chicken', 'nugget', 'school', 'snack', 'dont', 'afternoon', 'hassletimesavor', 'plus', 'true', 'convection', 'cooking', 'us', '1600watt', 'element', 'fan', 'circulate', 'heat', 'around', 'food', 'fast', 'cooking', 'even', 'browningindustry', 'leading', 'cleanrelease', 'nonstick', 'interior', 'requires', 'special', 'cleaner', 'damp', 'cloth', 'sponge', 'thats', 'needed', 'remove', 'cookedon', 'spill', 'splashesrecessed', 'turntable', 'onoff', 'feature', 'especially', 'helpful', 'cooking', 'plate', 'larger', 'turntableautomatic', 'interior', 'incandescent', 'light', 'large', 'window', 'help', 'track', 'cooking', 'progress4speed', 'fan', 'auto', 'vent', 'fan', 'function', 'keep', 'microwave', 'oven', 'overheating', 'vent', 'fan', 'automatically', 'turn', 'high', 'speed', 'temperature', 'range', 'cooktop', 'microwave', 'oven', 'get', 'hotreplaceable', 'charcoal', 'dishwasher', 'safe', 'mesh', 'filter', 'take', 'grease', 'impurity', 'air90', 'hinge', 'innovative', 'hinge', 'design', 'install', 'model', 'next', 'wall', 'still', 'open', 'door', 'easilylimited', '1year', 'warrantyconvertible', 'venting', 'installed', 'vented', 'nonvented', 'recirculating', 'fit', 'variety', 'installation', 'needsaccupop', 'cycle', 'sens', 'perfect', 'pop', 'every', 'time', 'adapts', 'cooking', 'time', 'using', 'sound', 'sensor', 'measure', 'time', 'pop', 'dont', 'worry', 'bag', 'size', 'excessive', 'unpopped', 'kernel', 'finally', 'watch', 'movie', 'microwaveincluded', 'item', 'convection', 'rack', 'suremist', 'steamer', 'cooking', 'rack', 'included', 'cooking', 'rack', 'let', 'microwave', 'two', 'level', 'cook', 'several', 'item', 'onceclick', 'detail', 'service', 'included', 'delivery', 'basic', 'hookup', 'installation', 'option', 'product']"
6,6,100007,"['quantum', 'adjustable', '2light', 'led', 'black', 'emergency', 'lighting', 'unit', 'lithonia', 'lighting', 'provides', 'minimum', 'minute', 'illumination', 'upon', 'loss', 'power', 'adjust', 'direction', 'light', 'using', 'unique', 'trackandswivel', 'design', 'head', 'unit', 'ideal', 'application', 'requiring', 'attractive', 'equipment', 'quick', 'installationadvanced', 'led', 'technology', 'dependable', 'energy', 'efficient2', 'adjustable', 'head', 'allow', 'direct', 'light', 'neededengineeringgrade', 'thermoplastic', 'housing', 'impactresistant', 'scratchresistant', 'corrosionproofintegrated', 'leds', 'mean', 'bulb', 'requiredtypical', 'life', 'leds', 'year', 'maintenancefree', 'operationblack', 'housing', 'ha', 'compact', 'lowprofile', 'designsealed', 'maintenancefree', 'nicad', 'battery', 'delivers', 'minute', 'capacity', 'ledsdual', 'voltage', 'input', 'capability', '277volteasily', 'installs', 'wall', 'ceilingul', 'damplocation', 'listed']"
7,7,100008,"['teks', 'zincplated', 'steel', 'washerhead', 'hex', 'selftapping', 'drillpoint', 'screws', '90pack', 'help', 'fasten', 'metal', 'metal', 'steel', 'screw', 'ideal', 'use', 'metal', 'thicker', 'gauge', 'drill', 'point', 'flute', 'remove', 'material', 'size', 'hole', 'thread', 'install', 'using', 'standard', 'screw', 'gun', 'included', 'hex', 'drive', 'bit', 'included', 'predrilling', 'requiredfor', 'metal', 'metal', 'fasteningideal', 'use', 'metal', 'thicker', 'gaugeuse', 'hvac', 'electrical', 'door', 'applicationsscrews', 'tap', 'headssteel', 'construction112', 'longzincplated']"
8,8,100009,"['get', 'house', 'fara', 'mdf', 'fluted', 'casing', 'add', 'elegant', 'look', 'room', 'preprimed', 'surface', 'free', 'knot', 'ready', 'painted', 'match', 'decor', 'cut', 'installs', 'easily', 'quality', 'look', 'finished', 'unique', 'detail', 'add', 'architectural', 'touch', 'room', 'projectcalifornia', 'resident', 'seenbspproposition', 'informationmade', 'primed', 'mdfcan', 'painted', 'match', 'decorresistant', 'moisturefor', 'interior', 'use96', 'length']"
9,9,100010,"['valley', 'view', 'industries', 'metal', 'stakes', '4pack', 'galvanized', 'steel', 'stake', 'use', 'valley', 'view', 'lawn', 'edging', 'brick', 'paver', 'edging', 'utility', 'stake', 'also', 'used', 'many', 'purpose', 'recommended', 'anchor', 'stake', 'used', 'every', 'five', 'foot', 'design', 'edging', 'straight', 'length', 'curved', 'design', 'edging', 'additional', 'anchor', 'stake', 'recommended', 'curve', 'point', 'anchor', 'stake', 'staked', 'degree', 'angle', 'gloves', 'eye', 'protection', 'recommendedcan', 'used', 'valley', 'view', 'lawn', 'edging', 'brick', 'paver', 'edgingsutility', 'stake', 'used', 'many', 'purposesgalvanized', 'steel', 'strength9', 'lengthpriced', 'competitively', 'yet', 'provides', 'much', 'value', 'product']"
